1753030603,hook.duration_ms,0,type:post,tool:Bash
1753030603,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030624,hook.duration_ms,0,type:pre,tool:Bash
1753030624,hook.pre_tool_use.count,1,tool:Bash
1753030707,hook.duration_ms,0,type:post,tool:Bash
1753030707,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030712,hook.duration_ms,0,type:pre,tool:Bash
1753030712,hook.pre_tool_use.count,1,tool:Bash
1753030799,hook.duration_ms,0,type:post,tool:Bash
1753030799,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030811,hook.duration_ms,0,type:pre,tool:Bash
1753030811,hook.pre_tool_use.count,1,tool:Bash
1753030815,hook.duration_ms,0,type:post,tool:Bash
1753030815,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030820,hook.duration_ms,0,type:pre,tool:Bash
1753030820,hook.pre_tool_use.count,1,tool:Bash
1753030820,hook.duration_ms,0,type:post,tool:Bash
1753030820,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030886,hook.duration_ms,0,type:pre,tool:Bash
1753030886,hook.pre_tool_use.count,1,tool:Bash
1753030887,hook.duration_ms,0,type:post,tool:Bash
1753030887,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030893,hook.duration_ms,0,type:pre,tool:Bash
1753030893,hook.pre_tool_use.count,1,tool:Bash
1753030894,hook.duration_ms,0,type:post,tool:Bash
1753030894,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030900,hook.duration_ms,1000,type:pre,tool:Bash
1753030900,hook.pre_tool_use.count,1,tool:Bash
1753030901,hook.duration_ms,0,type:post,tool:Bash
1753030901,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030926,hook.duration_ms,0,type:pre,tool:Bash
1753030926,hook.pre_tool_use.count,1,tool:Bash
1753030927,hook.duration_ms,0,type:post,tool:Bash
1753030927,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030933,hook.duration_ms,0,type:pre,tool:Bash
1753030933,hook.pre_tool_use.count,1,tool:Bash
1753030936,hook.duration_ms,0,type:post,tool:Bash
1753030936,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030949,hook.duration_ms,0,type:pre,tool:Bash
1753030949,hook.pre_tool_use.count,1,tool:Bash
1753030950,hook.duration_ms,0,type:post,tool:Bash
1753030950,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030957,hook.duration_ms,0,type:pre,tool:Bash
1753030957,hook.pre_tool_use.count,1,tool:Bash
1753030957,hook.duration_ms,0,type:post,tool:Bash
1753030957,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030974,hook.duration_ms,0,type:pre,tool:Bash
1753030974,hook.pre_tool_use.count,1,tool:Bash
1753030974,hook.duration_ms,0,type:post,tool:Bash
1753030974,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753030980,hook.duration_ms,0,type:pre,tool:Bash
1753030980,hook.pre_tool_use.count,1,tool:Bash
1753031004,hook.duration_ms,0,type:post,tool:Bash
1753031004,hook.post_tool_use.count,1,tool:Bash,exit_code:0
1753031400,hook.duration_ms,0,type:user-prompt-submit,tool:
1753032229,hook.duration_ms,0,type:user-prompt-submit,tool:
1753032400,hook.duration_ms,0,type:user-prompt-submit,tool:
1753032921,hook_secs,0,type:pre,tool:Bash
1753032921,hook_pre_tool_use_total,1,tool:Bash
1753032921,hook_secs,0,type:post,tool:Bash
1753032921,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033127,hook_secs,0,type:pre,tool:Bash
1753033127,hook_pre_tool_use_total,1,tool:Bash
1753033127,hook_secs,0,type:post,tool:Bash
1753033127,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033195,hook_secs,0,type:pre,tool:Bash
1753033195,hook_pre_tool_use_total,1,tool:Bash
1753033195,hook_secs,0,type:post,tool:Bash
1753033195,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033302,hook_secs,0,type:pre,tool:Bash
1753033302,hook_pre_tool_use_total,1,tool:Bash
1753033302,hook_secs,0,type:post,tool:Bash
1753033302,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033511,hook_secs,0,type:user-prompt-submit,tool:
1753033585,hook_secs,0,type:user-prompt-submit,tool:
1753033592,hook_secs,0,type:pre,tool:Bash
1753033592,hook_pre_tool_use_total,1,tool:Bash
1753033594,hook_secs,0,type:post,tool:Bash
1753033594,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033599,hook_secs,0,type:pre,tool:Bash
1753033599,hook_pre_tool_use_total,1,tool:Bash
1753033599,hook_secs,0,type:post,tool:Bash
1753033599,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033603,hook_secs,0,type:pre,tool:Bash
1753033603,hook_pre_tool_use_total,1,tool:Bash
1753033604,hook_secs,0,type:post,tool:Bash
1753033604,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033608,hook_secs,0,type:pre,tool:Bash
1753033608,hook_pre_tool_use_total,1,tool:Bash
1753033620,hook_secs,0,type:post,tool:Bash
1753033620,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033623,hook_secs,0,type:pre,tool:Bash
1753033623,hook_pre_tool_use_total,1,tool:Bash
1753033642,hook_secs,0,type:post,tool:Bash
1753033642,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033645,hook_secs,0,type:pre,tool:Bash
1753033645,hook_pre_tool_use_total,1,tool:Bash
1753033645,hook_secs,0,type:post,tool:Bash
1753033645,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033762,hook_secs,0,type:user-prompt-submit,tool:
1753033775,hook_secs,0,type:pre,tool:Bash
1753033775,hook_pre_tool_use_total,1,tool:Bash
1753033775,hook_secs,0,type:post,tool:Bash
1753033775,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033779,hook_secs,0,type:pre,tool:Bash
1753033779,hook_pre_tool_use_total,1,tool:Bash
1753033782,gemini_review_secs,2500,phase:test,type:verification
1753033782,hook_secs,0,type:post,tool:Bash
1753033782,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033786,hook_secs,0,type:pre,tool:Bash
1753033786,hook_pre_tool_use_total,1,tool:Bash
1753033792,hook_secs,0,type:post,tool:Bash
1753033792,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033795,hook_secs,0,type:pre,tool:Bash
1753033795,hook_pre_tool_use_total,1,tool:Bash
1753033796,hook_secs,0,type:post,tool:Bash
1753033796,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033804,hook_secs,0,type:pre,tool:Bash
1753033804,hook_pre_tool_use_total,1,tool:Bash
1753033804,hook_secs,0,type:post,tool:Bash
1753033804,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033819,hook_secs,0,type:pre,tool:Bash
1753033819,hook_pre_tool_use_total,1,tool:Bash
1753033824,hook_secs,0,type:post,tool:Bash
1753033824,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033852,hook_secs,0,type:pre,tool:Bash
1753033852,hook_pre_tool_use_total,1,tool:Bash
1753033852,hook_secs,0,type:post,tool:Bash
1753033852,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033856,hook_secs,0,type:pre,tool:Bash
1753033856,hook_pre_tool_use_total,1,tool:Bash
1753033856,hook_secs,0,type:post,tool:Bash
1753033856,hook_post_tool_use_total,1,tool:Bash,exit_code:0
1753033869,hook_secs,0,type:pre,tool:Bash
1753033869,hook_pre_tool_use_total,1,tool:Bash
1753034054,hook_secs,0,type:post,tool:Bash
